File Number,First Name:Principal Author,Last Name:Principal Author,Institution of Principal Author:Principal Author,Co Authors: Ê:Principal Author,White Paper Title,White Paper Description (350 character limit),File Link Ê
1,Faisal,Hossain,University of Washington,"Aleix Serrat-Capdevila, Stephanie Granger, Amy Thomas, David Saah, David Ganz, Robinson Mugo, MSR Murthy, Victor Hugo Ramos, Eric Anderson, Guy Schumann, Rebecca Lewison, Dalia Kirschbaum, Vanessa Escobar, Margaret Srinivasan, Christine Lee, Naveed Iqbal, Elliot Levine, Nancy Searby, Lawrence Friedl, Africa Flores, Dauna Coulter, Carolyn Fonseca, Dan Irwin, Ashutosh Limaye, Tim Stough, Jay Skiles, Sue Estes, Bill Crosson, Ali S. Akanda.",INPUT TO NRC DECADAL SURVEY ON GLOBAL CAPACITY BUILDING AND APPLICATIONS FOR SOCIAL GOOD USING SATELLITE EARTH OBSERVATIONS,This white paper represents the current view of the global capacity building and applications community of satellite earth  observations to achieve social good. It outlines key question and urgent needs for the coming decade.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-5ec1699ffb0bea8fea4674cdd39f06be_NRC+input+for+DS+for+Global+Capacity+Building+-E2workshopTacoma-1.docx
2,Faisal,Hossain,University of Washington,"Aleix Serrat-Capdevila, Stephanie Granger, Amy Thomas, David Saah, David Ganz, Robinson Mugo, MSR Murthy, Victor Hugo Ramos, Eric Anderson, Guy Schumann, Rebecca Lewison, Dalia Kirschbaum, Vanessa Escobar, Margaret Srinivasan, Christine Lee, Naveed Iqbal, Elliot Levine, Nancy Searby, Lawrence Friedl, Africa Flores, Dauna Coulter, Carolyn Fonseca, Dan Irwin, Ashutosh Limaye, Tim Stough, Jay Skiles, Sue Estes, Bill Crosson, Ali S. Akanda.",Community-derived Graphics as Vision and Mission Statements for Applications and Capacity Building using Satellite Earth Observations,This white paper describes the recent effor by th ecommunity on global capacity building (of satellite earth observations) to capture graphics that explain holistically how the next decade of multi-platform observations should be used.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-fb70bb1436a11a335e5a419099ef3fda_NRC+input+for+DS+for+Global+Capacity+Building+-E2workshopTacoma-2.docx
3,Allen,Pope,National Snow and Ice Data Center,"Penelople Wagner, Robert Johnson, Jamie Shutler, Jenny Baeseman, Louise Newman",Community Review of Southern Ocean Satellite Data Needs,"Through widespread engagement of over 100 individuals (both research and operational), this white paper represents a brief summary of the Southern Ocean communityÕs satellite data needs for the coming decade. The full report is available as a forthcoming publication, which should be consulted rather than this white paper, if possible.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-ed5bf38d14fb85f2e22a922b454a37de_PopeAllenJ.docx
4,Bing,Lin,NASA Langley Research Center,"Yongxiang Hu, Nathanael Miller",Global Surface Dry Air Pressure Measurements from Space for Greenhouse Gas Volume Mixing Ratio Observations,"Air pressure is an important variable in calculations of atmospheric dynamics and also essential for greenhouse gas volume mixing ratio estimations. Currently, it can only be observed by in-situ measurements in very-limited places. Thus, there is an urgent need to observe global surface air pressure from space for GHG besides severe weathers.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-311b4897aeaed5e722c8cba53e80b205_LinBing.pdf
5,Henry,Revercomb,"University of Wisconsin-Madison, Space Science and Engineering Center","William L. Smith, W. Paul Menzel, Timothy J. Schmit, Mitch Goldberg, Ralph Petersen, Jun Li, David C. Tobin, Robert O. Knuteson, Joe K. Taylor, Steven A. Ackerman, Jeffrey R. Key, Dave Santek,  Jordan Gerth, Grant W. Petty, Gregory J. Tripoli, Tristan L'Ecuyer, Robert Rabin, William D. Collins, Martin G. Mlynczak, Henry Buijs",Advanced geostationary sounders are needed to significantly enhance capabilities for issuing crucial pre-storm warnings,"A key challenge for operational weather forecasting is making timely, credible, location-specific, severe weather warnings. This challenge can be met using data from advanced IR imaging sounders in geostationary orbit, and should be vigorously pursued via a NASA pathfinder mission. The 2017 Decadal Survey should give this a very high priority.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-11ef4f1e6bc21bb3ed04a4c80810555e_RevercombHenryE2.docx
6,Henry,Revercomb,"University of Wisconsin-Madison, Space Science and Engineering Center","Jim Anderson, Bruce A. Wielicki, Stephen Leroy, Fred A. Best, David C. Tobin, Robert O. Knuteson, Joe K. Taylor, William L. Smith, Jonathan Gero, Nadia Smith, Henry Buijs, Frederic J. Grandmont, John Dykema, Martin G. Mlynczak, David G. Johnson, Peter Pilewskie, Greg Kopp, William D. Collins, Daniel Feldman, Brian Soden, Steven A. Ackerman",An observatory to establish a global benchmark of the current climate from space  is crucial to advancing accurate decadal climate forecasting,Implementing an observatory to establish a global benchmark of the current climate from space should be a very high priority of the next decade. The NASA CLARREO program has provided the scientific and technical foundation that demonstrates readiness for this key mission.   A strong recommendation to proceed expeditiously with execution is needed.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-6930f6f7a0f69786404368ab4d400326_RevercombHenryE1.docx
7,Kenneth,Jezek,The Ohio State University,"J. Johnson, M. Durand, C. Chen, G. Macelloni, M. Brogioni","Low-Frequency, Multi-channel Microwave Radiometry for  Cryospheric Monitoring","This white-paper introduces a new concept of low-frequency, multi-channel microwave radiometry to measure sub-surface temperature and other physical properties of ice sheets, sea ice, permafrost, and seasonal snow cover.  The system can also provide advantages in the measurement of sub-surface soil moisture and vegetation biomass.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-82651d541063426fae86dec0f13f1c4d_JezekKennethC.pdf
8,Tong,Lee,"Jet Propulsion Laboratory, California Institute of Technology","Aida Alvera Azcarate, Chris Bank, Eric Bayler, Fred Bingham, Jacqueline Boutin, Frank Bryan, Subrahmanyam Bulusu, Jim Carton, Kyla Drushka, Paul Durack, Rana Fine, Christine Gommenginger, Arnold Gordon, Seymon Grodsky, Eric Hackert, Johhny Johannessen, Nicolas Kolodziejczyk, Armind Kšhl, Gary Lagerloef, Tim Liu, Christophe Maes, Ricardo Matano, Thomas Meissener, Nicolas Reul, Gilles Reverdin, Monica Rhein, Roberto Sabia, Julian Schanze, Ray Schmitt, Tony Song, Meric Srokosz, Detlef Stammer, Graeme Stephens, Antonio Turiel, Nadya Vinogradova, Frank Wentz, Susan Wijffels, Pingping Xie, Lisan Yu, Simon Yueh","Linkage of the Water Cycle, Ocean Circulation, and Climate","Describes challenges in Earth System Science linking the water cycle, ocean circulation, climate, & biogeochemistry, focusing on the dominant oceanic element where salinity acts as a sentinel for the links. Emphasizes the need to continue/enhance ocean salinity measurements to maximize the synergy of satellite observations to study these links",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-d5c509554e258d30eb31a63804edbf70_LeeTong.docx
9,Attila,Komjathy,"NASA JPL, Caltech","Xing Meng,  Oscar Yang, Olga Verkhoglyadova",Combining Ground-Based and Spaceborne Data for Detecting and Monitoring Ionospheric Signatures Generated by Natural Hazards,"The white paper describes the urgent need for combining  ground-based, spaceborne GNSS and other measurements to characterize earthquake-tsunami coupling processes and better understand tsunami generation or their earthquake sources.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-08ca36cc19492c74de0f2368a9a0e4c5_KomjathyEarthScienceDS2015WhitePaperFinal.pdf
10,Norman,Loeb,NASA Langley Research Center,"Kory J. Priestley, Patrick Minnis, Bill Smith, Jr., Wenying Su, David P. Kratz, Seiji Kato, David R. Doelling, Takmeng Wong, Paul W. Stackhouse, Patrick C. Taylor, Bruce A. Wielicki",Observing EarthÕs Energy and Water Cycles,Improved understanding and prediction of climate requires advances in model development and observation of EarthÕs energy and water cycles. It is paramount that our observing system accurately track how energy and water are distributed within the EarthÕs system over timescales commensurate with the underlying processes.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-9be2a296b3de9ee8fc2ecb22f2b8c983_LoebNormanG.docx
